bid,zone_id,zone_name,restrict,note,flight_cei,height_met,Area,Shape_Length,Shape_Area
1,D_BUR003, Class C - BUR,Controlled Airspace,"You must have an airspace authorization from the FAA. LAANC is not presently available in this area, use FAADroneZone. Prior to flight, the remote pilot in command must assess local airspace and any flight restrictions.",0.000000000000000,0.000000000000000,231.445493635324766,0.618879551809175,0.022654315071619
2,D_VNY003,Class D - VNY,Controlled Airspace,"You must have an airspace authorization from the FAA. Use LAANC. Prior to flight, the remote pilot in command must assess local airspace and any flight restrictions.",0.000000000000000,0.000000000000000,160.826095264262221,0.489035248380266,0.015743349822397
3,D_WHP003,Class D - WHP,Controlled Airspace,"Valid time: Jan 1, 2026-Dec 31, 2026, daily 8:00 AM-8:00 PM (GMT-8); You must have an airspace authorization from the FAA. Use LAANC. Prior to flight, the remote pilot in command must assess local airspace and any flight restrictions.",0.000000000000000,0.000000000000000,57.994518799039255,0.321063935701232,0.005682506928380
4,D_EMT003,Class D - EMT,Controlled Airspace,"Valid time: Jan 1, 2026-Dec 31, 2026, daily 8:00 AM-8:00 PM (GMT-8); You must have an airspace authorization from the FAA. Use LAANC. Prior to flight, the remote pilot in command must assess local airspace and any flight restrictions.",100.000000000000000,30.480000000000000,184.884850644565319,0.499195723105268,0.018083210738528
5,D_POC003,Class D - POC,Controlled Airspace,"Valid time: Jan 1, 2026-Dec 31, 2026, daily 7:00 AM-9:00 PM (GMT-8); You must have an airspace authorization from the FAA. Use LAANC. Prior to flight, the remote pilot in command must assess local airspace and any flight restrictions.",100.000000000000000,30.480000000000000,130.277740477373442,0.422790116125730,0.012747444312461
6,D_SMO003,Class D - SMO,Controlled Airspace,"Valid time: Jan 1, 2026-Dec 31, 2026, daily 7:00 AM-9:00 PM (GMT-8); You must have an airspace authorization from the FAA. Use LAANC. Prior to flight, the remote pilot in command must assess local airspace and any flight restrictions.",200.000000000000000,60.960000000000001,161.638605196842491,0.510279444945990,0.015787705268154
7,D_LAX007,Class B - LAX,Controlled Airspace,"You must have an airspace authorization from the FAA. Use LAANC. Prior to flight, the remote pilot in command must assess local airspace and any flight restrictions.",0.000000000000000,0.000000000000000,633.260806416966830,1.388845396208758,0.061782373093359
8,D_LGB003,Class D - LGB,Controlled Airspace,"Valid time: Jan 1, 2026-Dec 31, 2026, daily 6:15 AM-11:45 PM (GMT-8); You must have an airspace authorization from the FAA. Use LAANC. Prior to flight, the remote pilot in command must assess local airspace and any flight restrictions.",0.000000000000000,0.000000000000000,213.214773404829828,0.511008442826228,0.020779882845694
9,D_TOA003,Class D - TOA,Controlled Airspace,"Valid time: Jan 1, 2026-Dec 31, 2026, daily 7:00 AM-8:00 PM (GMT-8); You must have an airspace authorization from the FAA. Use LAANC. Prior to flight, the remote pilot in command must assess local airspace and any flight restrictions.",0.000000000000000,0.000000000000000,147.862948004514834,0.497316950859536,0.014408053697307
10,D_HHR003,Class D - HHR,Controlled Airspace,"Valid time: Jan 1, 2026-Dec 31, 2026, daily 6:00 AM-10:00 PM (GMT-8); You must have an airspace authorization from the FAA. Use LAANC. Prior to flight, the remote pilot in command must assess local airspace and any flight restrictions.",400.000000000000000,121.920000000000002,95.563849501918568,0.384539481191873,0.009319141878988
11,D_LAX008,Class D - LAX,Controlled Airspace,"You must have an airspace authorization from the FAA. Use LAANC. Prior to flight, the remote pilot in command must assess local airspace and any flight restrictions.",50.000000000000000,15.240000000000000,23.111571310611541,0.225984898691113,0.002256318581294
12,D_LAX009,Class D - LAX,Controlled Airspace,"Valid time: Jan 1, 2026-Dec 31, 2026, daily 6:00 AM-11:45 PM (GMT-8); You must have an airspace authorization from the FAA. Use LAANC. Prior to flight, the remote pilot in command must assess local airspace and any flight restrictions.",0.000000000000000,0.000000000000000,22.943382218279549,0.226169378641503,0.002238295719271
13,D_FUL003,Class D - FUL,Controlled Airspace,"Valid time: Jan 1, 2026-Dec 31, 2026, daily 7:00 AM-9:00 PM (GMT-8); You must have an airspace authorization from the FAA. Use LAANC. Prior to flight, the remote pilot in command must assess local airspace and any flight restrictions.",350.000000000000000,106.680000000000007,178.472350527830088,0.567993330022723,0.017408713386578
14,D_SLI003,Class D - SLI,Controlled Airspace,"Valid time: Jan 1, 2026-Dec 31, 2026, daily 7:00 AM-9:00 PM (GMT-8); You must have an airspace authorization from the FAA. Use LAANC. Prior to flight, the remote pilot in command must assess local airspace and any flight restrictions.",150.000000000000000,45.719999999999999,157.400947224373425,0.511140339470365,0.015336714012306
15,D_ONT003,Class C - ONT,Controlled Airspace,"Valid time: Jan 1, 2026-Dec 31, 2026, daily 7:00 AM-9:00 PM (GMT-8); You must have an airspace authorization from the FAA. Use LAANC. Prior to flight, the remote pilot in command must assess local airspace and any flight restrictions.",400.000000000000000,121.920000000000002,263.576713818839949,0.633349045760511,0.025787719140456
16,D_CNO003,Class D - CNO,Controlled Airspace,"Valid time: Jan 1, 2026-Dec 31, 2026, daily 7:00 AM-9:00 PM (GMT-8); You must have an airspace authorization from the FAA. Use LAANC. Prior to flight, the remote pilot in command must assess local airspace and any flight restrictions.",50.000000000000000,15.240000000000000,134.098171003737974,0.479707089742648,0.013102470996880
17,D_PMD003,Class D - PMD,Controlled Airspace,"Valid time: Jan 1, 2026-Dec 31, 2026, daily 5:30 AM-10:00 PM (GMT-8); Reference code: KZLA 05/023; You must have an airspace authorization from the FAA. Use LAANC. Prior to flight, the remote pilot in command must assess local airspace and any flight res",0.000000000000000,0.000000000000000,214.357615007899739,0.515087819438531,0.021112979793738
18,D_WJF003,Class D - WJF,Controlled Airspace,"Valid time: Jan 1, 2026-Dec 31, 2026, daily 8:00 AM-10:00 PM (GMT-8); You must have an airspace authorization from the FAA. Use LAANC. Prior to flight, the remote pilot in command must assess local airspace and any flight restrictions.",0.000000000000000,0.000000000000000,187.786432136066850,0.482411563472806,0.018519197912432
19,D_VCV003,Class D - VCV,Controlled Airspace,"Valid time: Jan 1, 2026-Dec 31, 2026, daily 6:00 AM-8:00 PM (GMT-8); You must have an airspace authorization from the FAA. Use LAANC. Prior to flight, the remote pilot in command must assess local airspace and any flight restrictions.",0.000000000000000,0.000000000000000,392.019908567511550,0.772248365387299,0.038635510349583
20,VIP001,Vip,Flight Restricted Airspace,"Valid time: Sat, Jun 27, 2026, daily 5:30 AM-7:45 AM; No person may operate a small unmanned aircraft in restricted airspace unless that person has permission from the appropriate authority. Individuals violating any of these restrictions may be subject",0.000000000000000,0.000000000000000,267.630355063097795,0.573370583074283,0.026161226979857
21,VIP002,Vip,Flight Restricted Airspace,"Valid time: Sat, Jun 27, 2026, daily 3:45 AM-6:15 AM; No person may operate a small unmanned aircraft in restricted airspace unless that person has permission from the appropriate authority. Individuals violating any of these restrictions may be subject",0.000000000000000,0.000000000000000,268.812424528550366,0.574360883441695,0.026251674053974
22,VIP003,Vip,Flight Restricted Airspace,"Valid time: Sat, Jun 27, 2026, daily 3:00 AM-4:30 AM; No person may operate a small unmanned aircraft in restricted airspace unless that person has permission from the appropriate authority. Individuals violating any of these restrictions may be subject",0.000000000000000,0.000000000000000,267.575822263827092,0.572799286310234,0.026109119259804
23,SEC001,Security,Flight Restricted Airspace,"Valid time: Mon, Jun 29, 2026, daily 12:00 AM-9:00 AM; No person may operate a small unmanned aircraft in restricted airspace unless that person has permission from the appropriate authority. Individuals violating any of these restrictions may be subject",0.000000000000000,0.000000000000000,96.405636649579179,0.343864280946424,0.009409347908649
24,SEC002,Security,Flight Restricted Airspace,"Valid time: Jun 11, 2026 4:15 AM to Jul 16, 2026 2:29 PM, daily; No person may operate a small unmanned aircraft in restricted airspace unless that person has permission from the appropriate authority. Individuals violating any of these restrictions may",0.000000000000000,0.000000000000000,10.580400556275961,0.113832987487471,0.001031126848072
25,SEC003,Security,Flight Restricted Airspace,"Valid time: Jun 12, 2026 8:45 PM to Jul 21, 2026 2:59 PM, daily; No person may operate a small unmanned aircraft in restricted airspace unless that person has permission from the appropriate authority. Individuals violating any of these restrictions may",0.000000000000000,0.000000000000000,10.514872546745782,0.113507681046640,0.001025241859522
26,SEC004,Security,Flight Restricted Airspace,"Valid time: Jun 12, 2026 8:55 PM to Jul 21, 2026 2:59 PM, daily; No person may operate a small unmanned aircraft in restricted airspace unless that person has permission from the appropriate authority. Individuals violating any of these restrictions may",0.000000000000000,0.000000000000000,10.535688661657987,0.113748704526670,0.001029600502283
27,GAT001,Large Gathering/Public Safety,Flight Restricted Airspace,"Valid time: Jun 28, 2026 10:00 PM to Jun 29, 2026 9:00 AM, daily; No person may operate a small unmanned aircraft in restricted airspace unless that person has permission from the appropriate authority. Individuals violating any of these restrictions may",0.000000000000000,0.000000000000000,10.453271377696437,0.113313619355624,0.001021738973411
28,GAT002,Large Gathering/Public Safety,Flight Restricted Airspace,"Valid time: Sun, Jun 28, 2026, daily 1:00 AM-1:00 PM; No person may operate a small unmanned aircraft in restricted airspace unless that person has permission from the appropriate authority. Individuals violating any of these restrictions may be subject",0.000000000000000,0.000000000000000,10.733141577042442,0.114820159357118,0.001049088697268
29,STA_Dodger001,Dodger Stadium,Flight Restricted Airspace,"Valid time: Tue, Aug 11, 2026 9:10 AM-2:10 PM; Flight operations within 3NM of an FAA-designated stadium or sporting venue are restricted from 1 hour before the planned start time until 1 hour after the end of any qualifying event. Check the stadium sch",0.000000000000000,0.000000000000000,96.186413564144033,0.343759630927194,0.009403621587792
30,D_NUC003,Class D - NUC,Controlled Airspace,"Valid time: Jan 1, 2026-Dec 31, 2026, daily all hours; You must have an airspace authorization from the FAA. Use LAANC. Prior to flight, the remote pilot in command must assess local airspace and any flight restrictions.",0.000000000000000,0.000000000000000,208.701833016999331,0.502932563734092,0.020128268060256
31,OTH001,NALF San Clemente Island,Flight Restricted Airspace,"Valid time: Jan 1, 2026-Dec 31, 2026, daily all hours; No person may operate a small unmanned aircraft in restricted airspace unless that person has permission from the appropriate authority. Individuals violating any of these restrictions may be subjec",0.000000000000000,0.000000000000000,30.251270055527733,0.231164427835932,0.002916920314478
32,SEC005,Security,Flight Restricted Airspace,"Valid time: Jun 13, 2026 5:06 AM to Jul 16, 2026 2:29 PM, daily; No person may operate a small unmanned aircraft in restricted airspace unless that person has permission from the appropriate authority. Individuals violating any of these restrictions may",0.000000000000000,0.000000000000000,10.203757709749521,0.111830456679006,0.000995166501128
